DateTime,AddedIPs,RemovedIPs
1533174983,15,3
1533175893,8,2
1533176415,2,0
1533176613,2,2
1533176888,9,14
1533177333,2,4
1533178052,6,3
1533178832,22,16
1533179734,7,7
1533180745,11,19
1533181414,3,2
1533182133,2,1
1533182665,5,14
1533182853,6,4
1533183573,6,4
1533184293,4,1
1533184569,5,0
1533185013,6,4
1533185534,0,3
1533185733,9,1
1533186513,18,106
1533187413,8,6
1533188427,28,17
1533189093,1,2
1533189847,7,4
1533190338,14,0
1533190533,4,1
1533191252,9,3
1533192266,23,35
1533192933,4,7
1533193653,2,4
1533194374,4,7
1533195092,8,5
1533196109,17,24
1533197013,7,5
1533197973,5,5
1533198934,11,2
1533199893,9,5
1533200453,1,1
1533200853,28,11
1533201864,19,42
1533202532,6,2
1533203252,4,2
1533203771,6,6
1533203973,3,4
1533204693,2,9
1533205414,3,4
1533205692,8,0
1533206133,2,5
1533206854,4,5
1533207638,10,5
1533208293,5,11
1533209013,6,4
1533209531,3,4
1533209734,8,10
1533210692,6,1
1533211711,13,21
1533212613,7,3
1533213625,5,12
1533214370,35,21
1533215066,13,4
1533215530,5,2
1533215734,4,3
1533216453,2,2
1533217173,2,4
1533218133,4,5
1533218853,2,4
1533219624,11,9
1533220090,1,0
1533220293,6,9
1533221013,7,3
1533221534,6,13
1533221733,3,1
1533222453,2,3
1533223173,4,3
1533223452,8,6
1533223893,6,4
1533224853,6,6
1533225369,5,10
1533226053,6,6
1533226773,3,5
1533227285,13,3
1533227493,3,6
1533228213,6,4
1533228934,4,4
1533229212,8,0
1533229707,4,7
1533230373,4,5
1533231145,7,3
1533231814,6,5
1533233313,12,12
1533233765,4,0
1533234213,4,16
1533235174,6,3
1533235893,8,5
1533236613,5,4
1533237137,5,6
1533237572,4,2
1533238293,7,8
1533239065,16,13
1533239973,8,2
1533240693,5,3
1533240973,8,0
1533241414,7,4
1533242373,6,5
1533242897,8,14
1533243333,2,0
1533244347,18,12
1533244816,4,0
1533245254,5,11
1533246213,5,12
1533246734,5,0
1533246934,3,6
1533247653,4,6
1533248373,9,5
1533249093,3,6
1533249813,7,3
1533250580,11,19
1533251254,6,4
1533253720,23,33
1533254372,3,8
1533255093,2,3
1533255612,9,3
1533255814,4,6
1533256533,7,4
1533257571,13,15
1533258212,8,3
1533258982,9,2
1533259452,11,9
1533259893,6,15
1533260614,5,3
1533261381,7,14
1533262053,3,7
1533262772,6,3
1533263290,14,14
1533263499,4,4
1533263772,2,0
1533264213,2,3
1533265237,7,12
1533265653,7,7
1533266373,4,5
1533267146,11,13
1533267831,5,3
1533268533,4,2
1533269062,7,14
1533269493,4,7
1533270213,8,3
1533270980,9,16
1533271893,5,9
1533272613,86,294
1533272897,13,4
1533273334,6,5
1533273604,1,0
1533274293,5,7
1533274808,7,14
1533275012,6,17
1533275734,8,1
1533276753,14,6
1533277444,11,6
1533278134,7,6
1533279095,3,7
1533279813,2,3
1533280596,19,23
1533281253,6,7
1533281974,6,9
1533282490,17,10
1533282933,4,5
1533283893,7,5
1533284418,12,14
1533284614,3,6
1533285335,4,5
1533286053,9,6
1533286327,9,18
1533286832,0,10201
1533287733,10176,0
1533288261,11,8
1533288692,1,7
1533289413,9,4
1533290178,16,7
1533290853,5,5
1533291573,3,3
1533292097,22,0
1533292533,9,8
1533293494,10,11
1533294017,15,3
1533294213,2,2
1533294933,9,7
1533295653,7,2
1533296184,12,11
1533296613,5,9
1533297634,8,6
1533298094,8,0
1533298293,4,5
1533299014,4,6
1533299734,6,3
1533300015,12,0
1533300454,5,6
1533301173,5,7
1533301943,12,7
1533302613,5,4
1533302889,9,0
1533303334,4,1
1533303857,13,9
1533304053,4,3
1533304773,4,2
1533305493,6,4
1533306213,6,4
1533306934,3,5
1533307706,25,18
1533308373,3,1
1533309094,2,3
1533309607,12,0
1533309813,5,6
1533310773,6,5
1533311493,12,3
1533312214,7,4
1533312933,3,2
1533313450,14,17
1533313653,4,5
1533314373,2,3
1533315093,4,5
1533315627,12,20
1533316053,6,7
1533316774,3,4
1533317551,19,14
1533318213,6,8
1533318933,0,8
1533319466,7,0
1533319893,4,3
1533320614,7,5
1533321123,3,0
1533321386,11,11
1533322054,2,6
1533322777,8,6
1533323556,20,20
1533324213,4,8
1533324933,0,6
1533325448,12,19
1533325892,8,6
1533326613,3,8
1533327385,17,5
1533328053,9,9
1533328773,7,2
1533329292,4,11
1533329493,4,2
1533330214,7,9
1533331226,12,5
1533331893,2,5
1533332168,8,1
1533332612,4,4
1533333131,7,16
1533334053,4,7
1533335067,13,27
1533335734,7,5
1533336453,5,6
1533336975,15,11
1533337415,5,10
1533338133,4,1
1533338907,12,13
1533339572,6,2
1533340294,5,7
1533340809,8,11
1533341253,4,2
1533342186,6,3
1533342746,5,13
1533343176,6,11
1533343893,3,5
1533344674,21,18
1533345334,6,6
1533346052,2,4
1533346583,13,0
1533347064,19,10
1533348504,21,22
1533349175,4,7
1533349893,6,4
1533350414,6,0
1533350613,8,3
1533351126,9,0
1533351334,6,5
1533352053,9,1
1533352333,6,0
1533352773,11,2
1533353493,6,5
1533354266,18,23
1533354935,3,3
1533355654,4,4
1533356170,16,0
1533356374,2,4
1533357093,3,3
1533357813,2,2
1533358097,16,14
1533358533,12,4
1533359494,293,502
1533360012,10,23
1533360214,3,3
1533360933,2,6
1533361955,14,31
1533362614,3,5
1533363332,4,3
1533363852,17,26
1533364294,2,12
1533364804,1,0
1533365014,4,3
1533365732,2,2
1533366454,4,3
1533367173,8,5
1533367686,15,21
1533367893,2,4
1533368614,3,5
1533369333,5,2
1533369636,13,20
1533370054,9,5
1533370773,3,3
1533371546,19,3
1533372213,6,3
1533372933,4,6
1533373467,15,9
1533373892,6,3
1533374613,4,3
1533375333,2,4
1533376054,9,8
1533376835,7,1
1533377321,18,20
1533378213,8,7
